Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,465,1650,-1.000,-1.000,-15384506
1,2,462,1653,1.813,0.907,-16748692
1,3,456,1653,2.564,1.282,-7484982
1,4,456,1653,0.000,0.000,-11440265
1,5,456,1653,0.000,0.000,-11169131
1,6,456,1653,0.000,0.000,-16170686
1,7,456,1653,0.000,0.000,-11894402
1,8,456,1653,0.000,0.000,-10700100
1,9,456,1653,0.000,0.000,-10306885
1,10,456,1650,1.282,0.641,-8205107
1,11,456,1647,1.282,0.641,-10176844
1,12,456,1647,0.000,0.000,-13412255
1,13,456,1650,1.282,0.641,-7876918
1,14,459,1653,1.813,0.907,-12617347
1,15,465,1653,2.564,1.282,-6113603
1,16,465,1659,2.564,1.282,-14382976
1,17,465,1662,1.282,0.641,-15043981
1,18,465,1662,0.000,0.000,-15310499
1,19,462,1662,1.282,0.641,-11826808
1,20,462,1665,1.282,0.641,-10842735
1,21,465,1668,1.813,0.907,-14783378
1,22,474,1668,3.846,1.923,-12158081
1,23,477,1668,1.282,0.641,-14855079
1,24,483,1668,2.564,1.282,-6166300
1,25,483,1668,0.000,0.000,-14331564
1,26,489,1671,2.867,1.433,-10047313
1,27,489,1671,0.000,0.000,-14979994
1,28,483,1671,2.564,1.282,-9525078
1,29,477,1671,2.564,1.282,-6371894
1,30,477,1671,0.000,0.000,-8536131
1,31,471,1674,2.867,1.433,-12676715
1,32,468,1677,1.813,0.907,-11894392
1,33,468,1677,0.000,0.000,-13796233
1,34,468,1680,1.282,0.641,-11570830
1,35,468,1680,0.000,0.000,-11434875
1,36,471,1680,1.282,0.641,-8865347
1,37,471,1683,1.282,0.641,-14850970
1,38,468,1683,1.282,0.641,-13211283
1,39,468,1683,0.000,0.000,-13538451
1,40,465,1683,1.282,0.641,-13809070
1,41,465,1683,0.000,0.000,-8932431
1,42,465,1683,0.000,0.000,-12289152
1,43,465,1683,0.000,0.000,-10899022
1,44,462,1683,1.282,0.641,-12290182
1,45,459,1683,1.282,0.641,-14131871
1,46,456,1683,1.282,0.641,-16763074
1,47,453,1683,1.282,0.641,-13656678
1,48,450,1683,1.282,0.641,-12945791
1,49,447,1683,1.282,0.641,-16434111
1,50,444,1683,1.282,0.641,-13803934
1,51,441,1680,1.813,0.907,-10845816
1,52,438,1680,1.282,0.641,-9522004
1,53,435,1680,1.282,0.641,-10518142
1,54,435,1680,0.000,0.000,-16762820
1,55,432,1680,1.282,0.641,-16751009
1,56,429,1680,1.282,0.641,-12871271
1,57,426,1680,1.282,0.641,-11698819
1,58,423,1680,1.282,0.641,-11110528
1,59,420,1680,1.282,0.641,-10575965
1,60,420,1674,2.564,1.282,-13076360
1,61,417,1674,1.282,0.641,-16754089
1,62,414,1671,1.813,0.907,-10370634
1,63,411,1671,1.282,0.641,-15775928
1,64,411,1671,0.000,0.000,-13410967
1,65,411,1671,0.000,0.000,-12945804
1,66,411,1668,1.282,0.641,-13013137
1,67,411,1665,1.282,0.641,-4792357
1,68,405,1665,2.564,1.282,-6901069
1,69,405,1662,1.282,0.641,-7555914
1,70,402,1659,1.813,0.907,-9987948
1,71,402,1656,1.282,0.641,-13148060
1,72,396,1656,2.564,1.282,-16097446
1,73,396,1656,0.000,0.000,-10640988
1,74,393,1653,1.813,0.907,-11558246
1,75,390,1653,1.282,0.641,-8940131
1,76,387,1653,1.282,0.641,-16752556
1,77,384,1653,1.282,0.641,-16761800
1,78,384,1653,0.000,0.000,-16232880
1,79,384,1653,0.000,0.000,-16766674
1,80,381,1650,1.813,0.907,-16761026
1,81,381,1647,1.282,0.641,-14461351
1,82,378,1647,1.282,0.641,-16239312
1,83,372,1644,2.867,1.433,-11890546
1,84,372,1641,1.282,0.641,-15118251
1,85,369,1641,1.282,0.641,-9706535
1,86,363,1641,2.564,1.282,-8082771
1,87,363,1641,0.000,0.000,-12419968
1,88,360,1638,1.813,0.907,-10052192
1,89,360,1638,0.000,0.000,-12028301
1,90,357,1638,1.282,0.641,-11570822
3,1,537,1542,-1.000,-1.000,-9862519
3,2,537,1542,0.000,0.000,-12490128
3,3,534,1533,4.054,2.027,-7146770
3,4,534,1530,1.282,0.641,-6639429
3,5,534,1530,0.000,0.000,-8022622
3,6,531,1530,1.282,0.641,-7551039
3,7,531,1530,0.000,0.000,-9661803
3,8,531,1524,2.564,1.282,-7157308
3,9,534,1524,1.282,0.641,-14332845
3,10,534,1518,2.564,1.282,-8872028
3,11,534,1518,0.000,0.000,-14791855
3,12,528,1515,2.867,1.433,-14055033
3,13,525,1512,1.813,0.907,-12812157
3,14,522,1509,1.813,0.907,-7482926
3,15,516,1509,2.564,1.282,-10644587
3,16,513,1509,1.282,0.641,-11555926
3,17,504,1512,4.054,2.027,-12547964
3,18,504,1512,0.000,0.000,-12419200
3,19,498,1512,2.564,1.282,-10571863
3,20,495,1512,1.282,0.641,-9521998
3,21,489,1512,2.564,1.282,-8931140
3,22,483,1512,2.564,1.282,-6039847
3,23,480,1512,1.282,0.641,-10520964
3,24,474,1512,2.564,1.282,-12548215
3,25,471,1512,1.282,0.641,-9519427
3,26,465,1512,2.564,1.282,-9194573
3,27,456,1512,3.846,1.923,-10438989
3,28,453,1512,1.282,0.641,-7881023
3,29,447,1509,2.867,1.433,-11497847
3,30,447,1509,0.000,0.000,-6499115
3,31,441,1509,2.564,1.282,-10633797
3,32,435,1506,2.867,1.433,-10052450
3,33,432,1506,1.282,0.641,-9395551
3,34,429,1506,1.282,0.641,-7220781
3,35,423,1506,2.564,1.282,-14591909
3,36,423,1506,0.000,0.000,-13073280
3,37,417,1506,2.564,1.282,-10968929
3,38,417,1503,1.282,0.641,-11566720
3,39,411,1500,2.867,1.433,-7877949
3,40,408,1500,1.282,0.641,-7946822
3,41,405,1497,1.813,0.907,-12025988
3,42,399,1494,2.867,1.433,-8678509
3,43,399,1491,1.282,0.641,-9984865
3,44,399,1488,1.282,0.641,-9065042
