Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,495,1278,-1.000,-1.000,-7758947
1,2,483,1308,13.808,6.904,-9068643
1,3,486,1308,1.282,0.641,-393729
1,4,492,1308,2.564,1.282,-10052200
1,5,495,1311,1.813,0.907,-7754578
1,6,495,1317,2.564,1.282,-1
1,7,492,1320,1.813,0.907,-6441034
1,8,489,1326,2.867,1.433,-5784644
1,9,483,1335,4.623,2.311,-8874859
1,10,525,1347,18.667,9.333,-5651770
1,11,531,1350,2.867,1.433,-8416618
1,12,519,1335,8.209,4.105,-262145
1,13,519,1359,10.256,5.128,-2164748
1,14,498,1371,10.336,5.168,-9727085
1,15,504,1368,2.867,1.433,-9200739
1,16,507,1377,4.054,2.027,-4143672
1,17,504,1368,4.054,2.027,-2692886
1,18,498,1362,3.626,1.813,-6571589
1,19,462,1365,15.438,7.719,-4797490
1,20,444,1362,7.798,3.899,-8082773
1,21,456,1371,6.410,3.205,-4531495
1,22,429,1377,11.820,5.910,-396297
1,23,435,1389,5.734,2.867,-7560028
1,24,429,1368,9.333,4.667,-9655125
1,25,435,1362,3.626,1.813,-1281
1,26,432,1383,9.065,4.533,-1115659
1,27,411,1374,9.764,4.882,-4797488
1,28,423,1365,6.410,3.205,-3085591
1,29,405,1359,8.108,4.054,-65537
1,30,390,1374,9.065,4.533,-7228494
1,31,393,1383,4.054,2.027,-15640486
1,32,396,1386,1.813,0.907,-327681
1,33,375,1395,9.764,4.882,-2888723
1,34,366,1383,6.410,3.205,-513
1,35,396,1395,13.808,6.904,-10054762
1,36,363,1395,14.103,7.051,-6442313
1,37,351,1401,5.734,2.867,-2755856
1,38,333,1401,7.692,3.846,-4072999
1,39,330,1389,5.286,2.643,-2164487
1,40,396,1377,28.668,14.334,-65794
1,41,363,1383,14.334,7.167,-3481889
1,42,372,1383,3.846,1.923,-8939880
1,43,384,1380,5.286,2.643,-655873
1,44,405,1377,9.065,4.533,-12745853
1,45,441,1365,16.217,8.108,-458758
1,46,444,1350,6.537,3.269,-1835522
1,47,444,1368,7.692,3.846,-3413267
