Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,555,315,-1.000,-1.000,-6438978
1,2,555,330,6.410,3.205,-9201769
1,3,561,333,2.867,1.433,-8744041
1,4,561,336,1.282,0.641,-6043190
1,5,561,339,1.282,0.641,-7751239
1,6,567,342,2.867,1.433,-4859946
1,7,570,342,1.282,0.641,-9268845
1,8,579,342,3.846,1.923,-6303029
1,9,585,345,2.867,1.433,-8812401
1,10,585,351,2.564,1.282,-9270644
1,11,585,357,2.564,1.282,-9860214
1,12,591,360,2.867,1.433,-10121333
1,13,603,372,7.252,3.626,-5585725
1,14,606,375,1.813,0.907,-9930884
1,15,609,375,1.282,0.641,-7687762
1,16,624,393,10.013,5.007,-10452348
1,17,633,402,5.439,2.720,-8479075
1,18,633,408,2.564,1.282,-8672858
1,19,633,411,1.282,0.641,-9926005
1,20,621,417,5.734,2.867,-11767951
1,21,615,423,3.626,1.813,-8940139
1,22,615,426,1.282,0.641,-11638163
1,23,615,426,0.000,0.000,-6900556
1,24,609,441,6.904,3.452,-7953244
1,25,609,450,3.846,1.923,-9528166
1,26,609,459,3.846,1.923,-6771791
1,27,609,462,1.282,0.641,-5453623
1,28,609,465,1.282,0.641,-10451838
1,29,609,465,0.000,0.000,-7227462
1,30,606,468,1.813,0.907,-7890020
1,31,606,474,2.564,1.282,-9531247
1,32,603,474,1.282,0.641,-10316653
1,33,591,480,5.734,2.867,-5190449
1,34,582,483,4.054,2.027,-4465186
1,35,567,489,6.904,3.452,-8083288
1,36,540,498,12.163,6.081,-10456460
1,37,531,501,4.054,2.027,-7425358
1,38,510,504,9.065,4.533,-7488581
1,39,498,504,5.128,2.564,-8875373
1,40,483,504,6.410,3.205,-11504779
1,41,480,504,1.282,0.641,-6502715
1,42,468,501,5.286,2.643,-10522253
1,43,456,501,5.128,2.564,-6442568
1,44,450,507,3.626,1.813,-9137516
1,45,438,516,6.410,3.205,-8739678
1,46,432,516,2.564,1.282,-7163215
1,47,429,519,1.813,0.907,-7226692
1,48,426,522,1.813,0.907,-7951963
1,49,420,525,2.867,1.433,-9986405
1,50,408,525,5.128,2.564,-6305849
1,51,396,531,5.734,2.867,-7491664
1,52,381,534,6.537,3.269,-9663860
1,53,369,534,5.128,2.564,-9534839
1,54,363,534,2.564,1.282,-9133919
1,55,363,534,0.000,0.000,-8808294
1,56,363,537,1.282,0.641,-6632245
1,57,360,540,1.813,0.907,-4463133
1,58,360,540,0.000,0.000,-7031883
1,59,354,549,4.623,2.311,-7819089
1,60,345,558,5.439,2.720,-11237753
