Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,2079,1404,-1.000,-1.000,-8679279
1,2,2070,1413,5.439,2.720,-12884896
1,3,2064,1422,4.623,2.311,-11111049
1,4,2061,1425,1.813,0.907,-11900824
1,5,2058,1440,6.537,3.269,-7494235
1,6,2034,1470,16.418,8.209,-9597556
1,7,2019,1482,8.209,4.105,-10783370
1,8,2004,1488,6.904,3.452,-15586770
1,9,1998,1494,3.626,1.813,-11175559
1,10,1977,1515,12.692,6.346,-5188911
1,11,1959,1524,8.600,4.300,-5587265
1,12,1956,1524,1.282,0.641,-9599350
1,13,1941,1515,7.476,3.738,-5259329
1,14,1932,1512,4.054,2.027,-6244684
1,15,1932,1512,0.000,0.000,-5193022
1,16,1929,1515,1.813,0.907,-5062463
1,17,1929,1515,0.000,0.000,-13477287
1,18,1926,1512,1.813,0.907,-9405567
1,19,1923,1509,1.813,0.907,-11897227
1,20,1923,1506,1.282,0.641,-10324361
1,21,1923,1503,1.282,0.641,-10191235
1,22,1923,1500,1.282,0.641,-10186097
1,23,1920,1482,7.798,3.899,-4601653
1,24,1914,1473,4.623,2.311,-6704208
1,25,1911,1467,2.867,1.433,-10319480
1,26,1899,1467,5.128,2.564,-7692384
1,27,1893,1467,2.564,1.282,-8547691
1,28,1887,1467,2.564,1.282,-14328486
1,29,1875,1470,5.286,2.643,-6772568
1,30,1872,1473,1.813,0.907,-9928061
1,31,1869,1476,1.813,0.907,-12488333
1,32,1854,1473,6.537,3.269,-11046544
1,33,1854,1467,2.564,1.282,-9994369
1,34,1854,1461,2.564,1.282,-9530995
1,35,1845,1461,3.846,1.923,-6771541
1,36,1836,1461,3.846,1.923,-9466224
1,37,1833,1461,1.282,0.641,-7166038
1,38,1821,1458,5.286,2.643,-10719373
1,39,1812,1458,3.846,1.923,-7232344
1,40,1809,1458,1.282,0.641,-11769236
1,41,1806,1455,1.813,0.907,-9665921
1,42,1791,1449,6.904,3.452,-6773081
1,43,1788,1446,1.813,0.907,-7495005
1,44,1785,1446,1.282,0.641,-6968407
1,45,1779,1443,2.867,1.433,-5787214
1,46,1779,1443,0.000,0.000,-5456708
1,47,1776,1440,1.813,0.907,-8876404
1,48,1773,1440,1.282,0.641,-10980751
1,49,1770,1440,1.282,0.641,-11040378
1,50,1764,1440,2.564,1.282,-5915201
1,51,1755,1449,5.439,2.720,-11572886
1,52,1746,1455,4.623,2.311,-12097174
1,53,1740,1458,2.867,1.433,-14332596
1,54,1731,1470,6.410,3.205,-8675427
1,55,1731,1473,1.282,0.641,-9073267
1,56,1722,1485,6.410,3.205,-7365218
1,57,1716,1491,3.626,1.813,-8942449
1,58,1713,1497,2.867,1.433,-9202284
1,59,1710,1497,1.282,0.641,-9533554
1,60,1698,1515,9.245,4.623,-9862522
1,61,1689,1524,5.439,2.720,-10784401
1,62,1677,1536,7.252,3.626,-5588548
1,63,1665,1542,5.734,2.867,-5455941
1,64,1665,1545,1.282,0.641,-11767181
1,65,1662,1548,1.813,0.907,-10257279
1,66,1650,1551,5.286,2.643,-11772061
1,67,1635,1560,7.476,3.738,-11309198
1,68,1620,1560,6.410,3.205,-10914442
1,69,1605,1563,6.537,3.269,-11698566
1,70,1596,1566,4.054,2.027,-8018007
1,71,1587,1569,4.054,2.027,-16765398
1,72,1578,1578,5.439,2.720,-4535606
1,73,1575,1578,1.282,0.641,-5193790
1,74,1572,1581,1.813,0.907,-6637643
1,75,1569,1584,1.813,0.907,-5983304
1,76,1566,1590,2.867,1.433,-9861239
1,77,1560,1602,5.734,2.867,-11175559
1,78,1557,1611,4.054,2.027,-7232084
1,79,1557,1620,3.846,1.923,-13015195
1,80,1557,1620,0.000,0.000,-11370881
1,81,1557,1626,2.564,1.282,-9988977
1,82,1563,1629,2.867,1.433,-5387576
1,83,1566,1632,1.813,0.907,-5654600
1,84,1566,1635,1.282,0.641,-6312017
1,85,1569,1638,1.813,0.907,-5000520
1,86,1569,1644,2.564,1.282,-10055537
1,87,1566,1659,6.537,3.269,-2892322
1,88,1563,1671,5.286,2.643,-11106171
1,89,1563,1677,2.564,1.282,-10979722
1,90,1563,1683,2.564,1.282,-12948373
3,1,1290,1740,-1.000,-1.000,-5382689
3,2,1284,1740,2.564,1.282,-14455434
3,3,1284,1740,0.000,0.000,-9727598
3,4,1284,1740,0.000,0.000,-5649976
3,5,1284,1740,0.000,0.000,-4929076
3,6,1284,1740,0.000,0.000,-5455168
3,7,1284,1740,0.000,0.000,-3483172
3,8,1284,1740,0.000,0.000,-4797749
3,9,1284,1743,1.282,0.641,-5124143
3,10,1284,1749,2.564,1.282,-4401451
3,11,1287,1749,1.282,0.641,-7033171
3,12,1290,1752,1.813,0.907,-8941681
3,13,1293,1752,1.282,0.641,-4534066
3,14,1296,1755,1.813,0.907,-4733748
3,15,1302,1767,5.734,2.867,-11365743
3,16,1302,1770,1.282,0.641,-15048610
3,17,1302,1773,1.282,0.641,-9391953
3,18,1305,1773,1.282,0.641,-12027012
3,19,1305,1773,0.000,0.000,-13212056
3,20,1302,1773,1.282,0.641,-16765142
3,21,1302,1773,0.000,0.000,-12361885
3,22,1302,1770,1.282,0.641,-10711411
3,23,1302,1767,1.282,0.641,-6639696
3,24,1299,1767,1.282,0.641,-7035222
3,25,1299,1770,1.282,0.641,-9920102
3,26,1299,1767,1.282,0.641,-12089982
3,27,1296,1758,4.054,2.027,-2364697
3,28,1296,1758,0.000,0.000,-7363419
