Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,579,720,-1.000,-1.000,-7824742
1,2,585,720,2.564,1.282,-7950421
1,3,579,720,2.564,1.282,-3749424
1,4,582,717,1.813,0.907,-4204585
1,5,582,717,0.000,0.000,-7954271
1,6,582,717,0.000,0.000,-5059892
1,7,585,717,1.282,0.641,-7561568
1,8,585,720,1.282,0.641,-6509396
1,9,585,720,0.000,0.000,-5324606
1,10,585,720,0.000,0.000,-5586238
1,11,585,720,0.000,0.000,-7690585
1,12,585,720,0.000,0.000,-9266792
1,13,591,717,2.867,1.433,-3285539
1,14,591,717,0.000,0.000,-3287080
1,15,585,717,2.564,1.282,-721665
1,16,585,717,0.000,0.000,-1904399
1,17,585,717,0.000,0.000,-4797492
1,18,585,717,0.000,0.000,-8875377
1,19,588,717,1.282,0.641,-11961737
1,20,591,711,2.867,1.433,-4337711
1,21,591,708,1.282,0.641,-7759464
1,22,591,708,0.000,0.000,-4205361
1,23,591,708,0.000,0.000,-3879217
1,24,591,708,0.000,0.000,-788229
1,25,591,708,0.000,0.000,-6048331
1,26,591,711,1.282,0.641,-5456194
1,27,591,711,0.000,0.000,-5720394
1,28,591,711,0.000,0.000,-11114131
1,29,591,711,0.000,0.000,-2234905
1,30,591,711,0.000,0.000,-10254972
1,31,591,708,1.282,0.641,-7890020
1,32,588,708,1.282,0.641,-1972249
1,33,588,708,0.000,0.000,-2628120
1,34,588,708,0.000,0.000,-3681580
1,35,588,708,0.000,0.000,-3089701
1,36,588,708,0.000,0.000,-4997698
1,37,588,708,0.000,0.000,-4865599
1,38,588,708,0.000,0.000,-4205615
1,39,588,708,0.000,0.000,-2234904
1,40,585,705,1.813,0.907,-5917262
1,41,585,702,1.282,0.641,-5457221
1,42,579,702,2.564,1.282,-6837332
1,43,579,702,0.000,0.000,-6639694
1,44,579,702,0.000,0.000,-6440781
1,45,579,702,0.000,0.000,-10124924
1,46,579,696,2.564,1.282,-1051401
1,47,579,693,1.282,0.641,-4338227
1,48,582,693,1.282,0.641,-4797751
1,49,582,690,1.282,0.641,-8743787
1,50,585,690,1.282,0.641,-11241867
1,51,591,687,2.867,1.433,-9924726
1,52,591,684,1.282,0.641,-10453891
1,53,597,684,2.564,1.282,-14596280
1,54,615,678,8.108,4.054,-2694430
1,55,624,675,4.054,2.027,-4271405
1,56,633,675,3.846,1.923,-8217445
1,57,639,675,2.564,1.282,-6572620
1,58,642,675,1.282,0.641,-3813423
1,59,660,684,8.600,4.300,-4600630
1,60,666,690,3.626,1.813,-2958628
1,61,669,690,1.282,0.641,-2498593
1,62,669,690,0.000,0.000,-8150623
1,63,657,696,5.734,2.867,-5129026
1,64,648,699,4.054,2.027,-8348004
1,65,642,702,2.867,1.433,-8613997
1,66,642,702,0.000,0.000,-6310731
1,67,645,702,1.282,0.641,-8087910
1,68,645,705,1.282,0.641,-5655368
1,69,645,705,0.000,0.000,-4734015
1,70,654,705,3.846,1.923,-6838875
1,71,654,702,1.282,0.641,-393732
1,72,657,693,4.054,2.027,-9068645
1,73,657,690,1.282,0.641,-5261382
1,74,651,690,2.564,1.282,-6970458
1,75,648,693,1.813,0.907,-9334384
1,76,648,696,1.282,0.641,-5519416
1,77,648,696,0.000,0.000,-5654601
1,78,651,693,1.813,0.907,-8152933
1,79,651,690,1.282,0.641,-9536124
1,80,648,684,2.867,1.433,-8942710
1,81,648,684,0.000,0.000,-8088942
1,82,651,690,2.867,1.433,-4271920
1,83,654,693,1.813,0.907,-65537
