Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,810,900,-1.000,-1.000,-10651268
1,2,789,900,8.974,4.487,-8870236
1,3,789,900,0.000,0.000,-5978943
1,4,792,903,1.813,0.907,-5192507
1,5,792,906,1.282,0.641,-8413282
1,6,789,909,1.813,0.907,-8411225
1,7,783,918,4.623,2.311,-8872806
1,8,771,918,5.128,2.564,-13606563
1,9,756,918,6.410,3.205,-9333608
1,10,744,918,5.128,2.564,-9006445
1,11,732,927,6.410,3.205,-11112850
1,12,693,909,18.356,9.178,-7883601
1,13,657,900,15.858,7.929,-6174525
1,14,633,894,10.572,5.286,-9658983
1,15,621,894,5.128,2.564,-7553860
1,16,597,891,10.336,5.168,-7226951
1,17,558,879,17.438,8.719,-9986405
1,18,546,870,6.410,3.205,-10320505
1,19,534,870,5.128,2.564,-11834001
1,20,528,870,2.564,1.282,-4791070
1,21,513,867,6.537,3.269,-8674910
1,22,513,864,1.282,0.641,-8216414
1,23,507,864,2.564,1.282,-8739163
1,24,504,864,1.282,0.641,-9928574
1,25,501,864,1.282,0.641,-7627102
1,26,501,864,0.000,0.000,-7226700
1,27,504,882,7.798,3.899,-9462371
1,28,510,894,5.734,2.867,-11959166
1,29,513,897,1.813,0.907,-10323332
1,30,513,888,3.846,1.923,-12024448
1,31,519,873,6.904,3.452,-8210766
1,32,522,867,2.867,1.433,-7885141
1,33,522,864,1.282,0.641,-10784134
1,34,528,858,3.626,1.813,-10911098
1,35,528,858,0.000,0.000,-8939110
1,36,528,858,0.000,0.000,-6507078
1,37,531,852,2.867,1.433,-8014927
1,38,531,849,1.282,0.641,-8939626
1,39,531,849,0.000,0.000,-5784133
1,40,534,846,1.813,0.907,-9132126
1,41,534,843,1.282,0.641,-8740703
1,42,534,843,0.000,0.000,-10058358
1,43,519,837,6.904,3.452,-4799032
1,44,519,837,0.000,0.000,-11042168
1,45,519,843,2.564,1.282,-4009262
1,46,519,843,0.000,0.000,-3483431
1,47,525,843,2.564,1.282,-7882572
1,48,525,843,0.000,0.000,-7358795
1,49,525,843,0.000,0.000,-5582134
1,50,525,843,0.000,0.000,-4661025
1,51,525,837,2.564,1.282,-10123900
1,52,528,837,1.282,0.641,-6099996
1,53,528,837,0.000,0.000,-8543324
1,54,522,837,2.564,1.282,-12158859
1,55,522,837,0.000,0.000,-6636354
1,56,522,837,0.000,0.000,-9398121
1,57,522,837,0.000,0.000,-5777449
1,58,522,837,0.000,0.000,-7957094
1,59,522,834,1.282,0.641,-5718594
1,60,522,834,0.000,0.000,-9527135
1,61,525,834,1.282,0.641,-8871776
1,62,528,834,1.282,0.641,-8343376
1,63,531,834,1.282,0.641,-6241339
1,64,531,831,1.282,0.641,-4274226
1,65,537,831,2.564,1.282,-8478299
1,66,540,831,1.282,0.641,-8018261
1,67,546,831,2.564,1.282,-5718592
1,68,552,831,2.564,1.282,-7691101
1,69,555,834,1.813,0.907,-8145743
1,70,564,834,3.846,1.923,-7954273
1,71,567,834,1.282,0.641,-9066073
1,72,570,834,1.282,0.641,-7953755
1,73,573,834,1.282,0.641,-7621710
1,74,573,834,0.000,0.000,-4859944
1,75,573,834,0.000,0.000,-7093823
1,76,576,834,1.282,0.641,-7818057
1,77,579,834,1.282,0.641,-10116962
1,78,582,834,1.282,0.641,-7293772
1,79,582,834,0.000,0.000,-9466994
1,80,585,837,1.813,0.907,-12686741
1,81,588,840,1.813,0.907,-8343376
1,82,591,843,1.813,0.907,-10447728
1,83,591,843,0.000,0.000,-7422791
1,84,597,846,2.867,1.433,-6963780
1,85,597,849,1.282,0.641,-8474708
1,86,597,852,1.282,0.641,-9400692
1,87,600,852,1.282,0.641,-10913153
1,88,603,858,2.867,1.433,-9266796
1,89,609,864,3.626,1.813,-7490383
1,90,615,864,2.564,1.282,-7162186
3,1,1155,537,-1.000,-1.000,-7495777
3,2,1158,537,1.282,0.641,-9337718
3,3,1176,537,7.692,3.846,-12098713
3,4,1203,537,11.538,5.769,-7954271
3,5,1230,540,11.609,5.805,-65537
3,6,1236,540,2.564,1.282,-8285807
3,7,1245,546,4.623,2.311,-4993588
3,8,1260,549,6.537,3.269,-8675425
3,9,1272,552,5.286,2.643,-7628390
3,10,1281,555,4.054,2.027,-8149596
3,11,1311,567,13.808,6.904,-6904668
3,12,1311,567,0.000,0.000,-11572370
3,13,1314,570,1.813,0.907,-9069156
3,14,1317,573,1.813,0.907,-5718592
3,15,1320,573,1.282,0.641,-8743019
3,16,1323,576,1.813,0.907,-6375501
3,17,1326,582,2.867,1.433,-15517127
3,18,1326,600,7.692,3.846,-11571857
3,19,1326,609,3.846,1.923,-6574671
3,20,1323,627,7.798,3.899,-8744048
3,21,1323,639,5.128,2.564,-393985
3,22,1326,666,11.609,5.805,-11899282
3,23,1323,684,7.798,3.899,-8085857
3,24,1314,711,12.163,6.081,-7233119
3,25,1308,720,4.623,2.311,-11048597
3,26,1308,723,1.282,0.641,-7954273
3,27,1320,729,5.734,2.867,-8811124
3,28,1335,744,9.065,4.533,-13413036
3,29,1335,747,1.282,0.641,-9533818
3,30,1338,750,1.813,0.907,-7957353
3,31,1338,765,6.410,3.205,-11374739
3,32,1338,768,1.282,0.641,-10389897
3,33,1338,774,2.564,1.282,-9202800
3,34,1338,774,0.000,0.000,-9204851
3,35,1335,786,5.286,2.643,-6508882
3,36,1335,786,0.000,0.000,-8546408
3,37,1335,786,0.000,0.000,-10389643
3,38,1335,786,0.000,0.000,-7889763
3,39,1335,786,0.000,0.000,-9664375
3,40,1335,786,0.000,0.000,-5324606
3,41,1341,786,2.564,1.282,-8217443
3,42,1344,786,1.282,0.641,-8478561
3,43,1347,786,1.282,0.641,-7495005
3,44,1350,786,1.282,0.641,-10059647
3,45,1356,783,2.867,1.433,-11372172
3,46,1374,783,7.692,3.846,-7099223
3,47,1386,789,5.734,2.867,-6113609
3,48,1392,792,2.867,1.433,-8875373
3,49,1395,792,1.282,0.641,-7033171
3,50,1398,795,1.813,0.907,-9140602
3,51,1398,795,0.000,0.000,-7758175
3,52,1401,798,1.813,0.907,-12690081
3,53,1401,804,2.564,1.282,-8218726
3,54,1407,810,3.626,1.813,-8876658
3,55,1416,819,5.439,2.720,-8547693
3,56,1425,831,6.410,3.205,-7559513
3,57,1434,849,8.600,4.300,-8809582
3,58,1440,861,5.734,2.867,-9465970
3,59,1449,873,6.410,3.205,-8153705
3,60,1458,885,6.410,3.205,-7101019
3,61,1458,888,1.282,0.641,-4074286
3,62,1464,894,3.626,1.813,-7690072
3,63,1467,906,5.286,2.643,-3154467
3,64,1476,915,5.439,2.720,-5325122
3,65,1476,918,1.282,0.641,-8348002
3,66,1485,924,4.623,2.311,-8282722
3,67,1497,936,7.252,3.626,-6837586
3,68,1509,945,6.410,3.205,-8220014
3,69,1518,948,4.054,2.027,-9663864
3,70,1521,951,1.813,0.907,-8940139
3,71,1524,951,1.282,0.641,-11569549
3,72,1530,954,2.867,1.433,-6902098
3,73,1539,951,4.054,2.027,-8608094
3,74,1542,951,1.282,0.641,-11176588
3,75,1554,951,5.128,2.564,-8347489
3,76,1584,957,13.074,6.537,-10387583
3,77,1590,960,2.867,1.433,-10316912
3,78,1605,972,8.209,4.105,-1905940
3,79,1608,978,2.867,1.433,-6440518
3,80,1614,987,4.623,2.311,-9133406
3,81,1617,990,1.813,0.907,-6836301
3,82,1629,990,5.128,2.564,-6176574
3,83,1641,990,5.128,2.564,-11768211
3,84,1644,996,2.867,1.433,-8407375
3,85,1644,996,0.000,0.000,-10911617
3,86,1647,996,1.282,0.641,-6046535
3,87,1650,1002,2.867,1.433,-2824988
3,88,1653,1002,1.282,0.641,-9529707
3,89,1653,1005,1.282,0.641,-10647675
3,90,1659,1008,2.867,1.433,-5653573
5,1,849,1644,-1.000,-1.000,-10318195
5,2,855,1644,2.564,1.282,-7094083
5,3,861,1644,2.564,1.282,-5782075
5,4,864,1644,1.282,0.641,-8870745
5,5,867,1644,1.282,0.641,-9066845
5,6,888,1698,24.761,12.380,-9731963
5,7,891,1710,5.286,2.643,-7031112
5,8,897,1710,2.564,1.282,-10913927
5,9,915,1710,7.692,3.846,-8810865
5,10,921,1710,2.564,1.282,-6832451
5,11,933,1716,5.734,2.867,-11574680
5,12,939,1713,2.867,1.433,-10119021
5,13,939,1713,0.000,0.000,-12687509
5,14,939,1710,1.282,0.641,-9068896
5,15,939,1710,0.000,0.000,-8340555
5,16,939,1710,0.000,0.000,-9265246
5,17,939,1710,0.000,0.000,-8016465
5,18,939,1707,1.282,0.641,-7621197
5,19,939,1707,0.000,0.000,-7752013
5,20,939,1707,0.000,0.000,-8544354
5,21,939,1707,0.000,0.000,-7089975
5,22,927,1716,6.410,3.205,-10971249
5,23,915,1728,7.252,3.626,-9268075
5,24,906,1737,5.439,2.720,-4595231
5,25,894,1749,7.252,3.626,-7557973
5,26,882,1755,5.734,2.867,-8545381
5,27,876,1758,2.867,1.433,-7820377
5,28,870,1773,6.904,3.452,-14790577
5,29,864,1782,4.623,2.311,-10779512
5,30,855,1794,6.410,3.205,-6114120
5,31,846,1800,4.623,2.311,-8215129
5,32,834,1800,5.128,2.564,-10190459
5,33,816,1806,8.108,4.054,-9460578
5,34,798,1806,7.692,3.846,-8602183
5,35,753,1803,19.273,9.637,-8929861
5,36,750,1803,1.282,0.641,-8149336
5,37,738,1794,6.410,3.205,-7491663
5,38,714,1782,11.467,5.734,-8336958
5,39,702,1773,6.410,3.205,-8346462
5,40,690,1767,5.734,2.867,-8399406
5,41,678,1770,5.286,2.643,-8936538
5,42,660,1773,7.798,3.899,-8216156
5,43,645,1767,6.904,3.452,-8806241
5,44,633,1761,5.734,2.867,-11761528
5,45,621,1761,5.128,2.564,-13736345
5,46,600,1764,9.065,4.533,-10712690
5,47,591,1773,5.439,2.720,-7881546
5,48,588,1773,1.282,0.641,-7483443
5,49,579,1782,5.439,2.720,-11496815
5,50,570,1800,8.600,4.300,-12231580
5,51,561,1809,5.439,2.720,-8873059
5,52,558,1821,5.286,2.643,-7483956
5,53,558,1839,7.692,3.846,-5053722
5,54,558,1854,6.410,3.205,-10707300
5,55,558,1857,1.282,0.641,-4922914
5,56,555,1860,1.813,0.907,-11111049
5,57,555,1869,3.846,1.923,-8742760
5,58,555,1875,2.564,1.282,-8671830
5,59,555,1875,0.000,0.000,-10976375
