"","track","length","distance","straight","square_displacement","mean_speed","sd_speed","max_speed","min_speed","sinuosity","emax","DC","SDDC","mean_angle","probe"
"1",1,187.738655255342,14.1607183465181,0.0754278245322373,1217.9890686543,0.0175785257729721,0.0198919018360049,0.111541729067638,0,0.785531141789043,0.396262497764942,0.279860190043802,0.242770395469302,0,7
"2",3,194.273677570815,15.006024566178,0.0772416765555285,1628.3762508067,0.0181904192482037,0.0216388271883584,0.111541729067638,0,0.690002276013561,0.716901070468945,0.236103555085974,0.207665514143008,0,7
"3",5,266.799859391662,182.164092060536,0.682774318082077,5694.84800450371,0.024981260242665,0.0270568357010402,0.168925077873003,0,0.428771469547223,2.5424270065472,0.136906732655046,0.144364547816161,0,7
"4",7,249.426160818203,74.5355944797146,0.29882829545711,1733.5343841895,0.0233545094399067,0.0208983502070541,0.121813605996571,0,0.755020160161122,0.351513132286758,0.293134656322267,0.236335795482315,0,7
"5",9,147.310483415302,37.8802198902662,0.257145445538138,882.338230438683,0.0137931164246537,0.0140715322089885,0.077041688989502,0,0.814898358182609,0.799225961033265,0.222455983746157,0.261689721346824,0,7
"6",11,287.047726517232,26.3990499540171,0.0919674587718161,3811.46770258615,0.0268771279510517,0.0367059614339823,0.258405680522886,0,0.546733027302867,0.641947224514724,0.242426864297337,0.240123766948274,0,7
"7",13,291.345453420499,66.1841470418569,0.227167255451669,2141.41807017248,0.0272795368371254,0.0178173631508836,0.0834428330774646,0,0.737283953857776,0.410641496776819,0.277384935239121,0.227012206543596,0,7
"8",15,663.072983591908,47.2797121397028,0.0713039338197518,17430.0726477995,0.0620854853550476,0.0894046254860594,0.493885623576199,0,0.390421597326943,0.224292913796178,0.321032756844308,0.228085127715451,0,7
"9",17,454.844680498266,196.425975953128,0.431852859613419,6921.3362774805,0.0425884532301747,0.0261139976377597,0.133867129104956,0,0.511021342504436,0.810586871857475,0.242991850417062,0.214557197082252,0,7
"10",19,324.639049324338,112.973374052064,0.347996873103195,4054.97857591921,0.0303969147307433,0.028370890182533,0.13888888,0,0.565347877263987,0.779919155281692,0.231474906061308,0.198949690350239,0,7
"11",21,265.268575017114,66.3949053723876,0.250293142970683,1948.80015830876,0.0248378815559095,0.0159839611904023,0.0777789468306996,0,0.73838005890718,0.523696119518872,0.260942823351765,0.232073629012857,0,7
